Model name,Manufacturer,Description,Type,Year released,Height,Depth,Width,Weight,Housing material,Power,Operating power: min. [V]:,Operating power: max. [V]:,Power consumption,Internal power supply:,External power supply:,Internal Battery,Certifications:,Rechargeable with (auto)battery :,Direct car connection cable available :,Environment,Minimum Operating Temperature,Maximum Operating Temperature,Humidity resistance:,Water sand and dust proof:,Shock and vibration proof:,ROHS compliance,WEEE compliance,Performance,No. channels:,Max. simultaneous tracked channels:,Tracked satellite signals:,SBAS differential signals:,Type of measurements:,Reacqisition time [s]:,RTK Network Compatibility:,MRS functionality:,Horizontal uncertainity,code: DGNSS/RTC (constant part) [m]:,code: DGNSS/RTC (variable part) [ppm]:,phase: RTK rapid static (constant part) [m]:,phase: RTK rapid static (variable part) [ppm]:,phase: RTK kinematic (constant part) [m]:,phase: RTK kinematic (variable part) [ppm]:,phase: static post processing (constant part) [m]:,phase: static post processing (variable part) [ppm]:,phase: kinematic post processing (constant part) [m]:,phase: kinematic post processing (variable part) [ppm]:,Initialization time on the fly [s]:,Range on the fly [km]:,RTK network solution methods:,Recording,Memory medium :,Data capacity [MB]:,Type of data (on board recording):,Data input :,Communication: general,Communication ports:,Simultaneous links:,PPS Out:,Bluetooth :,Communication: links,Radio modems :,GSM; UMTS phone modems:,CDMA phone modems:,Landline modems:,Communication: Protocols,RTCM standards for differential data:,CMR standards for differential data:,Other formats for differential data:,NMEA output format:,other output formats:,L-Band Compatible:,Configuration method :,More information,Distinguishable features :
G3100-R1,Pentax,NA,NA,2012,0.099,0.198,0.198,1.4,PC,,7.4,15,1.8,2; Li-Ion 5000mAh,Cable,8,CE; FCC,Y,N,,-20,65,95% non-condensing,IP67,-,Y,Y,,136,27,GPS; GLONASS; L1/L2,WAAS; EGNOS,Full carrier phase; CodeC/A; P; C,1.2,Y,N,,0.35,NA,0.002,0.5,0.01,1,0.002,0.5,0.01,1,7,20,VRS; FKP; PRS; RTCM3,,SD Card,2000,SBF Raw data,Pen & Key with Getac PS535F Controller,,2 RS232 Serial,Y,N,Y,,UHF; 406-470 Mhz (Internal),Internal GSM/GPRS,External,N,,Ver 2.2; 2.3; 3.0; 3.1,CMR; CMR+,N,NMEA 0183 V 2.30,N,N,PC software / Script,,The G3100-R1 features the AsteRx2e GPS/GIONASS dual frequency receiver. The AsteRx2e engine includes RAIM and provides outstanding performance for Survey and GIS applications.
AsteRx2eH PRO,Septentrio,NA,NA,2010,0.245,0.14,0.037,0.98,Aluminum,,9,30,5.4,NA,Cable,NA,FCC; CE,NA,N,,-40,60,95%,IP65,Y,Y,Y,,272,112,GPS; GLONASS: L1/L2,WAAS; EGNOS; GAGAN; MSAS,Full carrier phase; C/A; P; C,1.2,Y,NA,,0.35,NA,0.002,0.5,0.006,0.5,0.002,0.5,0.006,0.5,7,25,VRS; FKP; PRS; RTCM3,,SD Card,2000,SBF Raw data; NMEA,Ext. device,,4 Serial; 1 ETH; 1 USB,Y,NA,N,,N,N,N,N,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,version 2.3,SBF,NA,PC (RxControl); Web interface,,NA
ProFlex Lite,Spectra Precision,NA,NA,2010,0.058,0.16,0.19,1.33,Aluminium,,9,36,3.5,NA,Y,NA,FCC; CE,N,N,,-30,60,100% condensing,IP67,MIL-STD 810F,Y,N,,75,NA,GPS: L1/L2; GLONASS: L1/L2,WAAS; EGNOS; MSAS; GAGAN,full wavelength carrier,3,Y,NA,,0.3,1,0.01,1,0.01,1,0.003,0.5,0.01,1,2,40,VRS; FKP; PRS; RTCM3,,N,NA,NA,N,,2 RS232; 1 USB,Y,Y,N,,Internal,External,External,NA,,version 2.3; 3.1,CMR; CMR+,ATOM; DBEN; LRK; VRS; FKP; MAC,NMEA 0183,NA,N,PC software,,Rugged and Compact GNSS Sensor delivering precise positioning for system integration.Embedded BLADE technology
V30 Dual-frequency GNSS RTK System,"Hi-Target Surveying Instrument Co., Ltd",NA,NA,2010,0.104,NA,0.195,1.3,Nanophase Materials shell from General Motors Corp.,,6,36,2.5,7.4V; 4400mAh,DC 9-30V,12,FCC; CE,Y,N,,-40,65,100%,IP67,Designed to survive a 3m nature fall,Y,NA,,220,220,"GPS simultaneous L1C/A;L2C;L2E;L5; 
GLONASS simultaneous L1C/A; L1P; L2C/A
(GLONASS M only);L2P;                                                 
Galileo: simultaneous L1 BOC; E5A; E5B; E5ALtBOC;                                                                BeiDou(Compass) B1;B2 ;                                                                                      QZSS L1 C/A;L1 SAIF;L2C;L5",WAAS; EGNOS; MSAS simultaneous L1C/A; L5,Very low noise GNSS carrier phase in surveying,8,Y,NA,,0.25,1,0.01,1,0.008,1,NA,NA,NA,NA,8,30,VRS; RTCM3,,Internal,64,.zhd,Pen; Keys; Qwerty board,,Standard USB2.0 Port; RS232 Serial Port; DC power input(8-pin & 5-pin),NA,N,Y,,External and internal UHF,Y,WCDMA Internal Module (Optional),N,,version 2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,NMEA-0183,Binary Trimble GSOF,N,Controller; PC software,,NA
Asterx2eL HDC,Septentrio,NA,NA,2010,0.13,0.185,0.046,0.51,High-Impact Plastic,,9,30,3.9,NA,Cable,NA,FCC; CE,NA,N,,-40,60,95%,IP65,Y,Y,Y,,136,58,GPS; GLONASS: L1/L2,WAAS; EGNOS; GAGAN; MSAS,Full carrier phase; C/A; P; C,1.2,Y,NA,,0.35,NA,0.002,0.5,0.006,0.5,0.002,0.5,0.006,0.5,7,25,VRS; FKP; PRS; RTCM3,,SD Card,2000,SBF Raw data; NMEA,Ext. device,,3 Serial; 1ETH; 1 USB,Y,Y,N,,N,N,N,N,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,version 2.3,SBF,Veripos; TERRASTAR,PC software; web interface,,NA
MAGH,Mgb-tech,NA,NA,2011,0.12,0.385,0.33,8,aluminum,,10,30,40,NA,NA,4,NA,Y,N,,-10,50,95% non-condensing,IP40,NA,Y,Y,,136,136,GPS; GLONASS; GALILEO,EGNOS; WAAS,full carrier,1.2,Y,NA,,0.35,NA,0.002,0.5,0.006,0.5,0.002,0.5,0.006,0.5,7,25,RTCM3,,HDD,NA,SBF raw data; NMEA,keyboard; mouse ...,,RS-232,Y,Y,N,,internal,internal,external,external,,version 2.2; 2.3; 3.0; 3.1,NA,SBF,version 2.30,NA,Veripos,PC software,,"This high-end IPC is equipped with all peripherals necessary to provide a É??one-box solutionÉ?ù for survey and
machine guidance applications."
RTK-GPS,Mgb-tech,NA,NA,2007,0.08,0.285,0.215,3.5,Powder coated thick aluminum,,10,30,4,4 cell LiPo battery,Wide input AC/DC adaptor or 10-30VDC power,8,CE,Y,On request,,-20,60,95% non-condensing,IP 65,Y,Y,Y,,136,136,GPS; GLONASS; GALILEO,EGNOS; WAAS,full carrier,1.2,Y,NA,,0.35,NA,0.002,0.5,0.006,0.5,0.002,0.5,0.006,0.5,7,25,RTCM3,,SD-Card,2000,SBF Raw data; NMEA,Depends on connected interface (Laptop/PDA),,4 RS232; 1 USB; 1 Ethernet,Y,Y,Y,,internal,external,external,external,,version 2.2; 2.3; 3.0; 3.1,NA,SBF,version 2.30,NA,Veripos,PC software,,Including heading output
eFix R1 Series-High-performance GNSS RTK,"KQ GEO Technologies Co., Ltd.",NA,NA,2010,0.47,0.26,0.59,8,PC+ABS,,7,12,2,650mAh,4400mAh,8,CE;ROHS,Y,N,,-45,65,IP67,IP67,IP67,Y,NA,,220,24,"220 channel (BD970ã¨?: 
-GPS: L1 C/A; L2E; L2C; L5 
-GLONASS: L1 C/A; L1 P; L2 C/A; L2 P
-GIVOVE-A/B
-BDS:B1;B2",WAAS; EGNOS; MSAS,full carrier phase;C/A code; P code; C code,2,Y,N,,0.01,1,0.005,1,0.5,1,0.0025,1,0.05,1,20,50,VRS; FKP; PRS; RTCM2.x; RTCM3; CMR; CMR+,,Nand flash,2024,Rinex,pen; keys; qwerty keyboard,,Lemo port; serial port; USB,Y,Y,Y,,Internal and external,Internal,External,Internal,,RTCM2.1; RTCM2.2; RTCM2.3; RTCM3.0; RTCM3.1,CMR; CMR+;,No,GPGGA; GPGSV; GPZDA; GPGST,ASCII: NMEA-0183 and binary,No,Fieldwork collection software; PC software,,"Our R1 gnss Features
Multi-frequency ; support multi-satellite such as GPS; GLONASS; Compass . 
With high accuracy ;in RTK  the plane accuracy can achive 1-2cm ; altitude accuracy can achive 2--3cm . 
Fast initialization and satellite tracking technology   
Built-in transmitting-receiving UHF Radio ; GPRS; Bluetooth . 
Dual power supply design ; surpports hot plug power battery replacement. 
Support one-key setup for base 
Standarized design ; exchangeable base and rover . 
seamless compatible with various Cors Systems"
K96T,Kolida Instrument Company,NA,NA,2014,0.2,0.4,0.45,4,PBS,,5.6,7.4,2,Removable 7.4V; 2500mAh lithium-lon battery,12V~15V DC,10,CE; CCC,N,Yes,,-45,75,100% condensing,IP67;immersion to depth of 1m (3.28ft),IP67; 2m (6.6ft) pole drop,N,N,,220,220,GPS: Simultaneous L1 C/A; L2E; L2C; L5; GlONASS: Simultaneous L1 C/A; L1P; L2 C/A (GLONASS M Only); L2 P; SBAS: Simultaneous L1 C/A; L5; GALILEO: Simultaneous L1 BOC; E5A; E5B; E5AltBOC; Compass: B1; B2; QZSS: L1 C/A; L1 SAIF; L2C; L5,WAAS; EGNOS; GAGAN; MSAS,C/A; P; C,1,Y,Y,,0.25,1,0.003,0.5,0.008,1,0.003,0.5,0.008,1,8,20,NRS; VRS; FKP; RTCM3; CMR,,Internal,64,Binary,Touching; colorful screen,,Standard USB2.0 port; RS-232 port: Baud rates up to 115200,Y,Y,Y,,Internal and external Radio modem,Internal and external GPRS/GSM module,Internal and external,N,,Version 2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,Y,Y,Y,NA,PC software,,"IP67 industrial protection;
Optimized operation design;
Improve carrier phase center;
KOLIDA NEW GENERATION."
S320 GNSS Survey Receiver,Hemisphere GNSSˇ,NA,NA,2011,0.114,0.197,NA,1.51,Lexan EXL Resin,,9,32,NA,Yes,Yes (Optional),10,NA,NA,NA,,-30,70,Up to 100%,IP67,EP455 and 2 m pole drop,NA,NA,,118,28,"L1C/A; L1P; L2P; L2C GPS
L1C/A; L1P; L2P; L2C/A GLONASS",MSAS; WAAS; EGNOS; GAGAN,C/A; P code; CP,NA,NA,NA,,0.3,2.5,0.01,1,0.01,1,0.003,1,0.003,1,10,50,CMR; CMR+; RTCM3; ROX,,SD Card,NA,NA,NA,,RS232,Y,Y,Y,,Internal,Internal,Internal,External,,NA,NA,NA,NMEA 0183 and NMEA 2000,NA,OmniSTAR,NA,,NA
A325 GNSS Smart Antenna,Hemisphere GNSSˇ,NA,NA,2012,0.104,0.145,NA,0.558,NA,,7,36,4.6,NA,Yes,NA,NA,NA,NA,,-40,70,95% Non-Condensing,IP67,EP455 Section 5.15.1 and Section 5.14.1,NA,NA,,118,28,L1/L2/L5 GPS; L1/L2 GLONASS,WAAS; EGNOS; GAGAN; MSAS,C/A; P code; CP,15,NA,NA,,0.3,2.5,0.01,1,0.01,1,0.003,1,0.003,1,10,50,CMR; CMR+; RTCM3; ROX,,NA,NA,NA,NA,,"RS232
CAN",Y,Y,Y,,External,External,External,External,,NA,NA,NA,NMEA 0183 and NMEA 2000,NA,OmniSTAR,NA,,NA
Vector V103 and V113,Hemisphere GNSSˇ,NA,NA,2012,0.146,0.663,0.209,2.4,NA,,9,36,4.3,NA,Yes,NA,CE; FCC; CISPR22,NA,NA,,-30,70,95% Non-Condensing,IP69K,EP455 Section 5.14.1 and EP455 Section 5.15.1,NA,NA,,12,12,"L1 GPS
L1 GLONASS",WAAS; EGNOS; GAGAN; MSAS,C/A code; CP,NA,NA,NA,,0.25,1,0.01,1,0.01,1,0.005,0,0.01,1,5,NA,NA,,NA,NA,NA,NA,,"RS232
RS422",Y,Y,N,,External,External,External,External,,Version 2.3,NA,NA,NMEA 0183 and NMEA 2000,NA,NA,NA,,NA
ProMark 700,Spectra Precision,NA,NA,2013,0.062,0.205,0.205,0.65,Plastic,,9,16,3.5,Yes,Yes,10,FCC;CE,Yes,Yes,,-30,65,100%,IP67,ETS300 019,Y,Y,,220,220,L1/L2; GPS/GLONASS,WASS;EGNOS;MSAS; GAGAN,C/A; P; C,5,Y,NA,,0.25,1,0;005,1,0.01,0.5,0;003,0.5,0.01,1,10,20,VRS; FKP; MAC; RTCM 2.3/3.1,,Internal,6,Custom data forlmat,Via data collector,,RS232,Y,NA,Y,,NA,Via data Collector,Via data Collector,NA,,Version 2.0 - 3.1,CMR; CMR+,NA,NMEA 0183,NA,NA,NA,,The lightest and most portable network RTK rover
CC05c,CompStar,NA,NA,2014,0.0765,0.153,0.153,0.87,polycarbonat,,5,27,2.85,2«?1600mAh,5-27DC,8,FCC;CE,Via external charger,N,,-40,65,100% condensation,Y,2 meters,N,N,,256,256,GPS L1/L2/L5; BDS B1/B2/B3; GLONASS L1/L2,WASS; EGNOS; MSAS,P code; C/A code; Full carrier phase,2,Y,Y,,0.25,1,0.005,1,0.01,0.5,0.0025,1,0.01,0.5,10,100,VRS; FKP; PRS; RTCM3,,Internal Flash Memory,200,CompStar GNSS raw data,Auto,,1 Serial RS232 Lemo,Y,N,Y,,Internal,3G,3G,N,,RTCM2.X; RTCM3.X,CMR/CMR+,CompStar Binary,NMEA0183,CompStar Binary,Y,CRU OEM Board Control Software,,1.Three-satellites and eight-frequency 2.Miniaturization design and easy to carry 3.Hot Swap Dual Battery 4.Compatible with different types of RTK from main manufacturers
M8 GNSS RTK,"KQ GEO Technologies Co., Ltd.",NA,NA,2014,0.45,0.2,0.5,3,NA,,6,12,2,7.4,up to 24W,7,CE,yes,no,,-45,65,99%,IP67,IP67,N,N,,16,220,"-GPS: L1 C/A; L2E; L2C; L5
-GLONASS: L1 C/A; L1 P; L2 C/A; L2 P
-GIVOVE-A/B
-BD-2: B1/B2
-SBAS",WAAS; EGNOS; GAGAN; MSAS,full carrier phase; C/A code; P code; C code,3,Y,Y,,0.01,1,0.005,1,0.01,1,0.0025,1,0.3,1,15,50,VRS; FKP; PRS; RTCM2.x; RTCM3; CMR; CMR+,,NAND FLASH; MICRO SD CARD,2048,KQS; RINEX,pen; keys; qwerty keyboard,,Lemo port; serial port; USB; Pan drive,Y,Y,Y,,Internal and external,Internal GSM,internal CDMA,landline,,RTCM2.1; RTCM2.2; RTCM2.3; RTCM3.0; RTCM3.1,CMR; CMR+; CMRx,no,GPGGA; GPGSV; GPZDA; GP,ASCII: NMEA-0183 and binary,No,Fieldwork collection software; PC software,,1cm accuracy stable GNSS RTK work and GIS field work with points; lines; polygons with attributes information; kinematic survey; control network; fast static
ReACT GNSS,Forsberg Services Ltd,NA,NA,2012,0.84,0.116,0.116,0.6,Xenoy,,9,36,3,N/a,Mains via PSU,NA,FCC; CE; IPX7,N/a,Yes,,-32,75,MIL-STD 810F; method 507.4,MIL-STD 810F; 512.4 IEC60529IPX7; 810F; 510.4,MIL-STD 810F; 516.5; 514.5 cat.20; 810E; 514.4,Y,Y,,120,120,GPS; GLONASS; GALILEO GPS P(Y) code option,Yes,Carrier Phase C/A Code; P(Y) Code,1,Y,NA,,NA,NA,NA,NA,0.01,1,0.005,0.5,0.01,1,10,40,ARTK,,NA,NA,NA,NA,,"1xRS232/RS422; 1xRS232; 3xRS232 EDGEWARE; 1xCAN; 1xUSB; 1PPS; VARF; EventIn.
Bluetooth Optional",Y,Y,Y,,Optional with external Interface,Optional with external Interface,Optional with external Interface,Optional with external Interface,,2.1; 2.3; 3.0; 3.1,CMR and CMR+,ASCII/Binary,Yes,EDGE-COM; CAN; NMEA 2000,No,Command line; PC Software,,A rugged smart antenna built to MIL environmental standards. Available in bespoke configurations to match your application.
MICROpod,Forsberg Services Ltd,NA,NA,2007,0.116,0.114,0.173,1,Aluminium,,9,32,NA,standard,standard,NA,FCC; CE; IPX7,N,Y,,-20,60,Y,IPX7,Y,Y,Y,,61,110,NA,OMNISTAR VBS/HP/XP; CDGPS,Carrier phase; C/A; P(Y),1.1,Y,NA,,NA,NA,0.005,1,0.005,1,NA,NA,NA,NA,NA,NA,NA,,On-Board Storage with OEM638 GNSS,4000,On-Board; access through USB,NA,,10 x RSS232/422; USB; CAN; PPS; VARF,Y,Y,N,,optional with external Interface,optional with external Interface,optional with external Interface,optional with external Interface,,version 2.3; 3.0,CMR and CMR+,ASCI/Binary,Yes,CAN,Y,PC Software; Command Line,,NA
SP80,Spectra Precision,NA,NA,2014,0.75,0.194,0.222,1.17,Fiberglass,,9,28,4,Y,Y,10,FCC; CE,Y,N,,-40,65,100%,IP67,ETS300 019; MIL-STD-810F,Y,Y,,240,240,L1/L2/L5/ B1/B2/ E1/E2; GPS/GLONASS/GALILEO/BEIDOU,WAAS; EGNOS; MSAS; GAGAN; QZSS,CA1; P; C,2,Y,NA,,0.25,1,0.03,0.5,0.008,1,0.003,0.1,0.01,1,2,40,VRS; FKP;MAC; RTCM 2.1/3.2,,INTERNAL; SD,2000,Custom data format,via Data collector,,RS232; USB,Y,NA,Y,,Built In TRx,Y,Via Data collector,-,,2.1 - 3.2,CMR; CMR+,ATOM,NMEA 0183,NA,NA,NA,,The new generation of GNSS receiver with unique communication and connectivity capabilities; including SMS; emailing and anti-theft feature.
EPOCH 50,Spectra Precision,NA,NA,2011,0.107,0.2,0.19,1.34,Plastic,,10,20,3.5,NA,Y,12,FCC; CE,Y,NA,,-40,60,100%,IP66,MIL-STD-810F,Y,Y,,220,220,L1; L2; L5; GPS; GLONASS; Galileo; BeiDou,WAAS; EGNOS; MSAS; GAGAN; QZSS,C/A; P; C,1,Y,NA,,0.25,1,0.01,1,0.01,1,0.003,0.5,0.008,1,10,30,VRS; FKP; MAC; RTCM2.3/3.2,,Internal,58,Custom data format,Via data controller,,RS232,Y,NA,Y,,Built-in TRx,Via data controller,Via data controller,NA,,Version 2.2 - 3.1,CMR; CMR+; CMRx,NA,NMEA 0183,NA,NA,NA,,The EPOCH 50 GNSS receiver; with its 220 channels; makes effective use of all available GNSS signals for outstanding satellite coverage and precise positioning.
ProMark 800,Spectra Precision,NA,NA,2011,0.084,0.118,0.228,1.4,Plastic,,6,28,4.5,NA,Y,8,FCC; CE,Y,NA,,-30,60,100%,IP67,ETS300 019; EN60945,Y,Y,,120,120,"L1/L2/L5; 
GPS/GLONASS/Galileo",WAAS; EGNOS; MSAS; GAGAN; QZSS,C/A; P; C,3,Y,NA,,0.25,1,0.01,1,0.01,1,0.003,0.5,0.01,1,2,40,VRS; FKP; MAC; RTCM2.3/3.1,,Internal; USB,128,Custom data format,Via data controller,,RS232/RS422; USB,Y,NA,Y,,Built-in,Y,Via data controller,NA,,Version 2.3-3.1,CMR; CMR+,ATOM,NMEA 0184,NA,NA,NA,,The ProMark 800 rover with embedded Z-Blade GNSS-centric technology ensures fast initialization; superior tracking; and high availability of satellites in harsh environments where it was not possible before.
K9-T,Kolida Instrument Company,NA,NA,2010,0.096,0.184,0.184,1.2,ABS+PC,,7.4,7.4,2,Removable 7.4V; 2500mAh lithium-lon battery,12V~15V DC,10,CE; FCC,N,Y,,-40,75,100% condensing,IP67;immersion to depth of 1m (3.28ft),IP67; 2m (6.6ft) pole drop,N,N,,220,220,GPS: Simultaneous L1 C/A; L2E; L2C; L5; GlONASS: Simultaneous L1 C/A; L1P; L2 C/A (GLONASS M Only); L2 P; SBAS: Simultaneous L1 C/A; L5; GALILEO: Simultaneous L1 BOC; E5A; E5B; E5AltBOC; Compass: B1; B2; QZSS: L1 C/A; L1 SAIF; L2C; L5,WAAS; EGNOS; GAGAN; MSAS,C/A; P; C,1,Y,Y,,0.25,1,0.003,0.5,0.008,1,0.003,0.5,0.008,1,8,20,NRS; VRS; FKP; RTCM3,,Internal,64,Binary,QWERTY keyboard,,Standard USB2.0 port; RS-232 port: Baud rates up to 115200,Y,N,Y,,Internal and external,Internal,Internal,N,,Version 2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,Y,Y,Y,NA,PC or field software; controller,,3G Network module optional; Carlson SurvCE and Field Genius installed; separated module pack; calibrated by NGS/IGS
K9T-X,Kolida Instrument Company,NA,NA,2012,0.096,0.184,0.184,1.2,ABS+PC,,7.4,7.4,2,Removable 7.4V; 2500mAh lithium-lon battery,12V~15V DC,10,CE; FCC,N,Y,,-40,75,100% condensing,IP67;immersion to depth of 1m (3.28ft),IP67; 2m (6.6ft) pole drop,N,N,,220,220,GPS: Simultaneous L1 C/A; L2E; L2C; L5; GlONASS: Simultaneous L1 C/A; L1P; L2 C/A (GLONASS M Only); L2 P; SBAS: Simultaneous L1 C/A; L5; GALILEO: Simultaneous L1 BOC; E5A; E5B; E5AltBOC; Compass: B1; B2; QZSS: L1 C/A; L1 SAIF; L2C; L5,WAAS; EGNOS; GAGAN; MSAS,C/A; P; C,1,Y,Y,,0.25,1,0.003,0.5,0.008,1,0.003,0.5,0.008,1,8,20,NRS; VRS; FKP; RTCM3,,Internal,4096,Binary,QWERTY keyboard,,Standard USB2.0 port; RS-232 port: Baud rates up to 115200,Y,N,Y,,Internal and external,Internal,Internal,N,,Version 2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,Y,Y,Y,NA,PC or field software; controller,,Customized radio frequency options; build-in transmitting radio module; huge internal memory; separated module packs;
T9,Sanding,NA,NA,2013,0.096,0.184,0.184,1.2,Plastic,,7.4,7.4,2,Removable 7.4V; 2500mAh Li-on battery,12-15V DC,10,CE,N/A,Available,,-40,75,100% condensing,IP67;immersion to depth of 1m (3.28ft),IP67; 2m (6.6ft) pole drop,N,N,,220,220,GPS: Simultaneous L1 C/A; L2E; L2C; L5; GlONASS: Simultaneous L1 C/A; L1P; L2 C/A (GLONASS M Only); L2 P; SBAS: Simultaneous L1 C/A; L5; GALILEO: Simultaneous L1 BOC; E5A; E5B; E5AltBOC; BEIDOU: B1; B2; QZSS: L1 C/A; L1 SAIF; L2C; L5,GPS; GLONASS; GALILEO; BEIDOU,C/A; P code; C code,1,Y,Y,,0.25,1,0.003,0.5,0.008,1,0.003,0.5,0.008,1,8,20,NRS; VRS; FKP; RTCM3,,Internal,4096,Binary,Qwerty keyboard,,Standard USB2.0 port; RS-232 port,Y,N,Y,,Internal and External,Internal,Internal,None,,Version 2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,SCMRX; RTD,GGA; GSA; GST; GSV; ZDA,N/A,L1; L2,PC software; Controller,,MDS Internal radio adopts TRIMTALK protocol which enables T9 to work with other receives with same protocol.
GRX1 (superseded),Sokkia B.V.,NA,NA,2010,NA,NA,NA,1.1,Magnesium alloy,,6.7,18,4,Detachable; Li-ion rechargeable battery; 7.2V; 4.3Ah,NA,7.5,FCC; CE; IC; C-Ctick; KCC; TELEC,NA,NA,,-40,65,100% condensing,IP67 (IEC 60529:2001); Protected against temporary immersion up to 1m depth.,2m pole drop,NA,Y,,72,72,GPS: L1/L2; GLONASS: L1/L2,WAAS; EGNOS; MSAS,Carrier; Code,1,Y,NA,,0.5,NA,NA,NA,0.01,1,0.003,0.5,0.01,1,NA,NA,VRS; FKP; RTCM3,,SD/SDHC card,NA,TPS format,NA,,RS-232C,NA,NA,Y,,UHF (Tx/Rx),Internal GSM/GPRS,Internal CDMA (US only),NA,,version 2.1; 2.2; 2.3; 3.0; 3.1,CMR,TPS,version 2.1; 2.2; 2.3; 3.0,NA,NA,NA,,Multi-lingual voice navigation
GRX2,Sokkia B.V.,NA,NA,2013,0.095,0.184,0.184,1,Magnesium Alloy,,6.7,18,4,Detachable; Li-ion rechargeable battery; 7.2V; 4.3,NA,7.5,FCC; CE; IC; C-Ctick; KCC; TELEC,NA,NA,,-40,65,100% Condensing,IP67 (IEC 60529:2001);,2m Pole Drop,NA,Y,,226,226,"GPS: L1/L2
GLONASS: L1/L2
GALILEO: E1",WAAS; EGNOS; MSAS; QZSS,Carrier; Code,1,Y,NA,,0.5,NA,NA,NA,0.01,1,0.003,0.5,0.01,1,NA,NA,VRS; FKP; RTCM3,,SD/SDHC card,NA,TPS Format,NA,,RS-232C,NA,NA,Y,,UHF (Tx/Rx),Internal GSM/GPRS,Internal CDMA (US only),NA,,version 2.1; 2.2; 2.3; 3.0; 3.1,CMR,TPS,version 2.1; 2.2; 2.3; 3.0,NA,NA,NA,,Multi-lingual voice navigation
ProMark 120/220,Spectra Precision,NA,NA,2012,0.19,0.043,0.09,0.62,Plastic,,3.7,3.7,3,Li-Ion 3900 mAh,NA,8,FCC; CE,Y,NA,,-20,60,100%,IP65,MI-STD-810,Y,Y,,45,45,L1/L2; GPS/GLONASS,WAAS; EGNOS; MSAS; GAGAN,C/A; P; C,5,Y,NA,,0.25,1,0.01,1,0.01,1,0.005,0.5,0.01,1,60,40,VRS; FKP; MAC; RTCM2.3/3.2,,Internal; SDHC slot,2000,Custom data format,Pen; keys; alphanumeric keyboard,,RS232; USB,Y,NA,Y,,External,Y,Via external phone,NA,,Version 2.3-3.1,CMR; CMR+,ATOM,NMEA 0183,NA,NA,NA,,120: Versatile GNSS solution with exceptional post-processing; 220: All-in-one GNSS rover solution for network RTK
AsteRx-m GeoPod,Septentrio,NA,NA,2013,0.11,0.035,0.078,0.2,High-Impact Plastic,,5,5,1,N,USB Cable,0,FCC; CE,N,N,,-20,50,95%,IP65,1.5m drop,Y,Y,,132,132,GPS; GLONASS: L1/L2,WAAS; EGNOS; GAGAN; MSAS,Full carrier phase; C/A; P; C,1.2,Y,N,,0.6,0,0.002,0.5,0.006,0.5,0.002,0.5,0.006,0.5,7,50,VRS; FKP; PRS; RTCM3,,N,0,N/A,N/A,,1 USB,N,N,N,,N,N (use host tablet),N (use host tablet),N,,version 2.2; 2.3; 3.0; 3.1,CMR2.0; CMR+,None,version 2.30,SBF,N,GUI RxTools and RxAssitant PC Software,,The AsteRx-mÉ?Ω GeoPod upgrades professional tablet PCs with a high accuracy GNSS receiver thus providing sub-meter or centimeter accurate positions.
SF-3050 Integrated StarFire,NavCom Technology,NA,NA,2009,0.06,0.164,0.117,0.5,Aluminum,,9,32,6,NA,Universal AC/DC adapter; 12VDC,NA,Tested in accordance with FCC/CE regulations for electromagnetic interference,NA,Y,,-40,70,95% non-condensing,IP67,MIL STD 810F,Y,Y,,67,67,L1/L2/L5/G1/G2,WAAS; EGNOS; MSAS; GAGAN; StarFire,full wavelength carrier phase tracking; C/A; P; C,NA,Y,NA,,0.45,3,0.01,0.5,0.01,1,NA,NA,NA,NA,10,40,RTCM3,,Internal,20000,NMEA; NavCom ASCII; NavCom binary,NA,,2 RS232 (1changable to RS422); 1 USB 2.0 (Host or Device); Ethernet (10T/100T),Y,Y,Y,,Y,Y,Y,Y,,version 2.3 & 3.0,CMR/CMR+,SBAS and StarFire  (Proprietary),NMEA 0183 version 3.01,NA,NavCom StarFire,PC Software,,Including heading output
SF-3040,NavCom Technology,NA,NA,2011,0.111,NA,0.203,1.45,NA,,NA,NA,4,hot swappable batteries,NA,NA,Tested in accordance with FCC/CE regulations,Y,Y,,-20,45,Y,Y,Y,N,N,,66,67,GPS; GLONASS; SBAS,WAAS; EGNOS; MSAS; GAGAN; StarFire,full wavelength carrier phase tracking; C/A; P; C,20,Y,NA,,0.45,3,0.01,0.5,0.01,0.5,0.01,1,NA,NA,50,40,RTCM3,,Removable SD,20000,NMEA; NavCom ASCII; NavCom binary,NA,,RS232 (configurable to RS422); USB 2.0; Ethernet,Y,Y,Y,,Optional UHF radio - internal,NA,NA,NA,,RTCM 2.3; RTCM 3.1,CMR/CMR+,NA,NMEA 0183 version 3.01,NA,NavCom StarFire,PC Software,,Pole-mount GNSS StarFire/RTK Extend Receiver provides both RTK-level accuracy (40km away from the base) or 5cm position accuracy with StarFire GNSS.
